LOAN_ACCT_NUM,BORROWER_FIRST_NAME,BORROWER_LAST_NAME,BORROWER_DOB,BORROWER_EMAIL,BORROWER_PHONE,CO_BORROWER_FIRST_NAME,CO_BORROWER_LAST_NAME,PROP_STREET_NUM,PROP_STREET,PROP_SUBURB,PROP_STATE,PROP_POSTCODE,PROP_TYPE,PURCHASE_PRICE,ORIG_AMOUNT,CURRENT_BALANCE,CURRENT_RATE,RATE_TYPE,LOAN_TERM_MONTHS,ORIGINATION_DATE,SETTLEMENT_DATE,STATUS,REPAY_FREQUENCY,REPAY_AMOUNT,LVR,LMI_FLAG,LMI_PREMIUM,EMPLOYER_NAME,EMPLOYMENT_TYPE,GROSS_ANNUAL_INCOME,NET_MONTHLY_INCOME,MONTHLY_EXPENSES,CREDIT_CARD_BALANCE,OTHER_LIABILITIES,PROPERTY_VALUE_EST,VALUATION_DATE,INSURANCE_PROVIDER,BROKER_NAME,BROKER_CODE,BRANCH_CODE,INTERNAL_SCORE,ARREARS_DAYS,ARREARS_AMOUNT,LAST_PAYMENT_DATE,LAST_PAYMENT_AMOUNT,OFFSET_BALANCE,REDRAW_BALANCE,OFFSET_ACCT_NUM,REDRAW_ENABLED,INTEREST_ONLY_FLAG,IO_EXPIRY_DATE,FIXED_RATE_EXPIRY,DISCOUNT_MARGIN,PRODUCT_CODE,PRODUCT_NAME,CHANNEL,PURPOSE,SECURITY_TYPE,TITLE_REF,COUNCIL_AREA,ZONING,NUM_BEDROOMS,NUM_BATHROOMS,LAND_AREA_SQM,FLOOR_AREA_SQM,YEAR_BUILT,STRATA_FLAG,STRATA_LEVY,BODY_CORP_NAME,GUARANTOR_FLAG,GUARANTOR_NAME,GUARANTOR_RELATIONSHIP,FEE_PACKAGE,ANNUAL_FEE,APPLICATION_ID,LOAN_GROUP_ID,SETTLEMENT_AGENT,SOLICITOR_NAME,DISCHARGE_DATE,DISCHARGE_REASON,NOTES,LAST_UPDATED
ACT-0000001,Elijah,Walker,27/09/1987,elijah.walker@optusnet.com.au,0419796918,,,93,George Parade,Unley,SA,5061,House,260200.00,236521.80,178523.02,,Variable,360,11/11/2018,02/12/2018,ACTIVE,Monthly,1147.62,90.9,,,University of Sydney,Contract,56283.65,3377.02,6906.78,14610.54,24028.73,344166.01,11/01/2020,,Mortgage Choice,BRK-1453,BR-030,673,0,0.00,27/03/2025,1147.62,,,,N,N,,,0.06,HL-PKG-FIX,Package Fixed,Broker,Renovation,Registered First Mortgage,CT-501386,Unley Council,Mixed Use,2,1,357,134,2024,N,,,N,,,Gold,395.00,APP-00010000,GRP-000001,Conveyancing Works,Slater & Gordon,,,,12/03/2025
ACT-0000002,Olivia,Anderson,15/08/1991,olivia.anderson@outlook.com,0472207597,Emily,Anderson,29,Main Boulevard,Doncaster,VIC,3108,House,899400.00,699733.20,592473.58,0.555,Variable,360,21/05/2023,02/07/2023,ACTIVE,Monthly,4497.99,77.8,N,,,,144359.56,8661.57,,14663.73,19737.87,1025526.42,21/02/2024,Allianz Australia,,,BR-109,706,0,0.00,13/01/2025,4497.99,64161.62,,OFF-0000002,N,Y,21/05/2024,,1.12,HL-LDL-VAR,Low Doc Variable,Broker,Construction,Registered First Mortgage,CT-196166,Doncaster Council,Mixed Use,1,3,222,245,1979,N,,,N,,,Gold,395.00,APP-00010001,GRP-000001,Settlex,Gadens,,,,11/03/2025
ACT-0000003,Barbara,Smith,25/09/1964,barbara.smith@icloud.com,0452974359,,,,Smith Lane,Subiaco,WA,6008,Townhouse,478500.00,314853.00,252676.45,0.335,Fixed,360,23/06/2022,13/07/2022,ACTIVE,Monthly,1506.16,65.8,N,,,Contract,151009.06,9060.54,,12834.45,32905.17,550401.84,23/04/2024,ANZ Lenders Mortgage Insurance,PLAN Australia,BRK-1410,BR-067,319,0,0.00,18/03/2025,1506.16,,1208.08,,Y,Y,23/06/2023,23/06/2024,,HL-STD-FIX,Standard Fixed,Broker,Equity Release,Registered Second Mortgage,CT-577839,Subiaco Council,Residential,3,1,510,85,2020,Y,1677.29,SP 00527,N,,,None,0.00,APP-00010002,GRP-000001,Conveyancing Works,Holding Redlich,,,,02/03/2025
ACT-0000004,Thomas,Kelly,15/06/1996,thomas.kelly@optusnet.com.au,0408953593,,,154,Banksia Close,Cranbourne,VIC,3977,Unit,292200.00,224409.60,190806.22,,Variable,360,26/11/2021,19/12/2021,ACTIVE,Monthly,1362.35,76.8,N,,Commonwealth Bank,Contract,169210.83,10152.65,7302.58,9695.29,4842.92,365814.46,26/07/2022,Helia,,,BR-049,329,0,0.00,01/02/2025,1362.35,,14873.08,,Y,N,,,0.75,HL-IO-FIX,Interest Only Fixed,Broker,Purchase,Registered Second Mortgage,CT-639490,Cranbourne Council,Residential,3,1,814,238,1988,Y,553.42,SP 07623,N,,,Platinum,595.00,APP-00010003,GRP-000002,Conveyancing Works,Maurice Blackburn,,,,06/03/2025
ACT-0000005,Steven,King,03/05/1960,steven.king@outlook.com,0487079541,,,186,Harbour Court,Bendigo,VIC,3550,House,756100.00,468025.90,428191.56,0.296,Fixed,360,03/05/2024,03/06/2024,ACTIVE,Monthly,2113.85,61.9,N,,Woodside Energy,PAYG,181130.48,10867.83,7913.03,14231.97,,846452.31,03/11/2024,,Mortgage Choice,BRK-4074,BR-125,316,0,0.00,06/01/2025,2113.85,67238.69,,OFF-0000005,N,Y,03/05/2029,03/05/2029,,HL-IO-VAR,Interest Only Variable,Broker,Investment,Registered Second Mortgage,CT-874456,Bendigo Council,Rural Residential,4,2,432,238,1980,N,,,N,,,None,0.00,APP-00010004,GRP-000002,Nationwide Conveyancing,Mills Oakley,,,,01/03/2025
ACT-0000006,Ava,Parker,18/11/1983,ava.parker@icloud.com,0403349213,,,111,William Street,Glenelg,SA,5045,Unit,150000.00,120150.00,90756.08,0.479,Variable,360,23/05/2020,08/06/2020,ACTIVE,Monthly,701.31,80.1,,,Transurban Group,Contract,,,,11681.94,36834.01,182805.85,,,,,BR-044,672,0,0.00,03/03/2025,701.31,,27069.82,,Y,N,,,0.57,HL-PKG-VAR,Package Variable,Mobile,Purchase,Equitable Mortgage,CT-667241,Glenelg Council,Rural Residential,1,2,319,263,1965,Y,2568.95,SP 25581,N,,,Silver,295.00,APP-00010005,GRP-000002,PEXA Direct,Mills Oakley,,,,08/03/2025
ACT-0000007,Ella,Watson,04/07/1957,ella.watson@hotmail.com,0476695759,,,108,Victoria Circuit,Gosford,NSW,2250,Unit,512800.00,431264.80,331244.11,,Variable,360,11/09/2020,12/10/2020,ACTIVE,Monthly,7947.26,84.1,Y,4834.85,Coles Group,Contract,219717.81,13183.07,4339.27,12004.00,,647216.58,11/01/2021,,Connective,BRK-1587,BR-133,867,0,0.00,21/02/2025,7947.26,30930.99,,OFF-0000007,N,N,,,0.91,HL-INV-FIX,Investor Fixed,Broker,Investment,Equitable Mortgage,CT-341681,Gosford Council,Rural Residential,4,1,414,124,2001,Y,1828.68,SP 16759,N,,,Gold,395.00,APP-00010006,GRP-000003,Conveyancing Works,Slater & Gordon,,,,13/03/2025
ACT-0000008,Thomas,Morris,21/01/1971,thomas.morris@gmail.com,0422328388,Daniel,Morris,162,Acacia Circuit,Brunswick,VIC,3056,House,581000.00,339885.00,238852.11,0.503,Variable,300,20/11/2018,31/12/2018,ACTIVE,Monthly,2196.96,58.5,N,,,Contract,,,3750.66,12116.87,42417.83,803360.28,20/01/2019,Helia,AFG,BRK-0697,BR-054,401,0,0.00,04/03/2025,2196.96,,28231.48,,Y,N,,,0.53,HL-STD-VAR,Standard Variable,Broker,Refinance,Equitable Mortgage,CT-652111,Brunswick Council,Rural Residential,1,2,732,340,2010,N,,,N,,,Silver,295.00,APP-00010007,GRP-000003,PEXA Direct,HWL Ebsworth,,,,28/03/2025
ACT-0000009,Lisa,Morgan,24/11/1977,lisa.morgan@yahoo.com.au,0485959016,,,168,Pacific Parade,Southbank,QLD,4101,House,342400.00,232489.60,215407.48,0.534,Variable,360,15/06/2024,13/07/2024,ACTIVE,Weekly,335.94,67.9,N,,,,194134.97,11648.10,7828.39,2291.32,36082.62,368132.41,15/12/2024,,,,BR-028,641,0,0.00,13/03/2025,335.94,,,,N,N,,,1.19,HL-STD-VAR,Standard Variable,Phone,Construction,Registered First Mortgage,CT-524948,Southbank Council,Rural Residential,1,2,869,95,2003,N,,,N,,,None,0.00,APP-00010008,GRP-000003,Settlex,Slater & Gordon,,,,02/03/2025
ACT-0000010,Ashley,Parker,03/11/1977,ashley.parker@icloud.com,0453780384,,,36,Market Parade,Parramatta,NSW,2150,Unit,614800.00,344288.00,203224.34,0.425,Fixed,360,05/02/2014,24/02/2014,ACTIVE,Monthly,1868.79,56.0,N,,REA Group,PAYG,229339.44,13760.37,5928.45,1909.11,18883.94,923139.17,,Suncorp,Connective,BRK-4142,BR-077,358,0,0.00,10/02/2025,1868.79,,21735.94,,Y,N,,05/02/2016,,HL-PKG-VAR,Package Variable,Broker,Construction,Registered First Mortgage,CT-616482,Parramatta Council,Residential,4,3,404,123,2015,Y,2850.62,SP 80615,N,,,Platinum,595.00,APP-00010009,GRP-000004,Conveyancing Works,Mills Oakley,,,,12/03/2025
