loan_ref,borrower_name,borrower_dob,borrower_email,borrower_phone,co_borrower_name,address_street,address_suburb,address_state,address_postcode,property_type,bedrooms,purchase_price,loan_amount,interest_rate,loan_term_months,interest_type,repayment_type,repayment_frequency,product_name,settlement_date,loan_status,lvr,employer,income_gross_annual,expenses_monthly
MIG-000001,Elijah  Walker,02/02/1985,,0419796918,,93 Ocean Way,Glenelg,SA,5045,Unit,4,409000.00,237629.00,7.36,360,Variable,Principal and Interest,Monthly,Interest Only Variable,06/01/2019,UNDER_ASSESSMENT,58.1,Atlassian,166352.87,5690.14
MIG-000002,Joseph Edwards,06/08/1980,joseph.edwards@gmail.com,0423764756,,4 Harbour Close,Woden,ACT,2606,House,4,635600.00,367376.80,5.77,360,Fixed,Principal and Interest,Weekly,Investor Variable,15/12/2019,SETTLED,57.8,,208779.83,6686.88
MIG-000003,Sophie Hall,20/12/1960,sophie.hall@icloud.com,0444945476,,184 William Boulevard,Chatswood,NSW,2067,House,2,653300.00,493894.80,6.73,360,Fixed,Interest Only,Monthly,Package Variable,18/04/2021,Closed,75.6,Stockland,249789.72,6878.16
MIG-000004,Logan Evans,1962-12-26,logan.evans@yahoo.com.au,0406464803,,156 George Lane,Ipswich,QLD,4305,Unit,4,376900.00,207671.90,7.46,360,Split,Principal and Interest,Fortnightly,Low Doc Variable,2017-03-12,SETTLED,55.1,Fortescue Metals,88317.65,6929.65
MIG-000005,Nancy Mitchell,06/12/1993,nancy.mitchell@yahoo.com.au,0445263374,Linda Campbell,181 Bridge Road,Footscray,VIC,3011,Unit,4,447800.00,310773.20,6.46,360,Variable,Interest Only,Fortnightly,Interest Only Variable,16/11/2023,Active,69.4,Commonwealth Bank,242636.06,4686.45
MIG-000006,Andrew Turner,10/10/1979,andrew.turner@bigpond.com,0477312675,,96 Banksia Drive,Brunswick,VIC,3056,Apartment,2,392000.00,239512.00,7.21,360,Fixed,Principal and Interest,Monthly,First Home Buyer Variable,11/04/2020,Closed,61.1,Lendlease,215531.98,7176.56
MIG-000007,Lucas Rogers,04/07/1965,,0486477882,,194 Church Road,Ryde,NSW,2112,House,3,1053400.00,1000730.00,6.54,360,Variable,Principal and Interest,Fortnightly,Investor Fixed,02/07/2018,Arrears,95.0,Transurban Group,172564.42,3413.92
MIG-000008,Liam Stewart,02-18-1999,liam.stewart@hotmail.com,0452539109,Sophie Cooper,42 Ocean Street,,QLD,4064,Unit,1,363900.00,329693.40,7.14,300,Fixed,Interest Only,Monthly,Package Variable,02-07-2022,UNDER_ASSESSMENT,90.6,BHP Group,249543.01,2614.53
MIG-000009,Ashley Taylor,03/10/1975,ashley.taylor@gmail.com,0464656693,Sarah Taylor,143 High Drive,Gold Coast,QLD,4217,Unit,4,205200.00,143229.60,6.78,300,Variable,Principal and Interest,Monthly,Standard Fixed,01/09/2023,UNDER_ASSESSMENT,69.8,,177720.08,5990.67
MIG-000010,John Wright,23/07/1989,john.wright@outlook.com,0475489297,,82 Church Drive,Hawthorn,VIC,3122,House,1,657400.00,368801.40,6.18,360,Fixed,Interest Only,Monthly,Investor Fixed,03/09/2022,UNDER_ASSESSMENT,56.1,Woolworths Group,155084.33,4206.79
MIG-000011,David Walker,05/11/2000,david.walker@gmail.com,0454044673,Sarah Mitchell,20 Charles Parade,Chatswood,NSW,2067,Townhouse,3,771900.00,385178.10,6.34,120,Fixed,Interest Only,Fortnightly,First Home Buyer Variable,27/06/2021,Active,49.9,Rio Tinto,233200.67,3137.55
MIG-000012,Richard Green,10/09/2000,richard.green@outlook.com,0426090813,,192 Church Street,Surfers Paradise,QLD,4217,House,2,552800.00,405755.20,6.33,360,Variable,Principal and Interest,Weekly,First Home Buyer Variable,15/03/2018,UNDER_ASSESSMENT,73.4,Woolworths Group,102493.51,3591.47
MIG-000013,Lisa Lee,17/01/1970,lisa.lee@gmail.com,0444955282,Elizabeth Taylor,199 Victoria Avenue,Brunswick,VIC,3056,House,1,425800.00,263996.00,6.88,300,Split,Interest Only,Monthly,Low Doc Variable,03/11/2021,DRAFT,62.0,Mirvac Group,232718.46,3646.81
MIG-000014,Logan Campbell,1978-04-05,logan.campbell@yahoo.com.au,0471963040,Noah Campbell,120 Station Court,Surfers Paradise,QLD,4217,House,4,628300.00,593743.50,6.89,360,Variable,Principal and Interest,Monthly,Low Doc Variable,2020-08-07,UNDER_ASSESSMENT,94.5,Westpac Group,71276.62,4901.07
MIG-000015,Christopher Green,05/01/1969,christopher.green@gmail.com,0406303795,,82 High Street,Newcastle,NSW,2300,Townhouse,1,703500.00,548026.50,7.00,360,Variable,Principal and Interest,Monthly,Standard Variable,21/01/2017,Arrears,77.9,University of Sydney,224978.28,6176.88
MIG-000016,Thomas Morris,21/01/1971,thomas.morris@gmail.com,0422328388,Daniel Morris,,,VIC,,Unit,1,614100.00,427413.60,5.58,360,Variable,Principal and Interest,Fortnightly,Low Doc Variable,11/03/2017,Arrears,69.6,University of Sydney,107491.42,4817.93
MIG-000017,Archer Green,1992-11-19,archer.green@gmail.com,0486650271,,53 Ocean Close,Toorak,VIC,3142,House,3,476600.00,433706.00,5.95,120,Variable,Principal and Interest,Monthly,Standard Fixed,2023-01-25,UNDER_ASSESSMENT,91.0,Stockland,234544.43,5403.47
MIG-000018,Thomas Thompson,28/03/1965,thomas.thompson@gmail.com,0490595992,Mark Cox,51 Church Place,Ipswich,QLD,4305,Townhouse,4,534300.00,375612.90,6.23,120,Fixed,Principal and Interest,Monthly,Package Variable,08/06/2018,Arrears,70.3,Stockland,195531.60,4265.89
MIG-000019,Lisa Robinson,20/06/1959,,0495714399,,192 Victoria Parade,Chermside,QLD,4032,House,2,568200.00,369898.20,6.61,120,Fixed,Principal and Interest,Monthly,Investor Fixed,26/09/2022,UNDER_ASSESSMENT,65.1,Rio Tinto,97201.64,5601.58
MIG-000020,James Anderson,24/06/1991,james.anderson@gmail.com,0481396382,,185 Victoria Close,Carlton,VIC,3053,House,4,657000.00,463185.00,7.34,120,Fixed,Principal and Interest,Monthly,Investor Variable,06/09/2018,UNDER_ASSESSMENT,70.5,Lendlease,246431.64,5358.93
MIG-000021,Robert Cooper,1985-09-17,robert.cooper@yahoo.com.au,0465740660,,49 Elizabeth Lane,Footscray,VIC,3011,Townhouse,2,584200.00,374472.20,7.02,360,Variable,Principal and Interest,Fortnightly,Interest Only Fixed,2019-01-01,DRAFT,64.1,Woolworths Group,244382.03,6847.56
MIG-000022,Ethan Nguyen,02-18-1974,ethan.nguyen@protonmail.com,0447228219,,64 Pacific Close,Scarborough,WA,6019,House,2,,463817.20,5.74,360,Fixed,Principal and Interest,Monthly,Standard Fixed,01-26-2024,DRAFT,81.4,BHP Group,221850.19,2839.39
MIG-000023,Karen Green,07-14-1987,karen.green@hotmail.com,0452811564,Andrew Baker,30 Park Crescent,Paddington,QLD,4064,Unit,4,228800.00,174803.20,7.11,360,Variable,Principal and Interest,Monthly,Low Doc Variable,05-01-2017,UNDER_ASSESSMENT,76.4,PwC Australia,149597.47,7625.29
MIG-000024,Sophie Smith,2000-05-08,sophie.smith@gmail.com,0468673194,Ethan Roberts,38 William Place,Gosford,NSW,2250,House,4,515400.00,381911.40,7.14,360,Split,Principal and Interest,Monthly,Standard Variable,2021-10-25,APPROVED,74.1,Stockland,176425.88,6724.86
MIG-000025,Mary Ward,not-a-date,mary.ward@gmail.com,0485486538,Susan Ward,137 George Lane,Doncaster,VIC,3108,Apartment,1,451900.00,333502.20,6.18,360,Variable,Principal and Interest,Monthly,Standard Variable,31/02/2020,UNDER_ASSESSMENT,73.8,,195256.62,4869.35
MIG-000026,"Andrew Jones	",06-20-1963,,0469879838,Nancy Jones,174 Harbour Drive,Doncaster,VIC,3108,Townhouse,3,483200.00,371097.60,6.28,360,Fixed,Principal and Interest,Weekly,Standard Variable,10-07-2017,APPROVED,76.8,ANZ Banking Group,197843.25,5089.61
MIG-000027,Alexander Clark,08-07-1977,,0442814010,Mia Clark,70 Elizabeth Avenue,Newtown,NSW,2042,House,2,397000.00,308469.00,6.26,360,Fixed,Principal and Interest,Fortnightly,Package Fixed,05-28-2015,UNDER_ASSESSMENT,77.7,University of Sydney,186436.16,3048.63
MIG-000028,Grace Anderson,12/11/1982,grace.anderson@yahoo.com.au,0488388494,,54 Banksia Crescent,Toorak,VIC,3142,Townhouse,1,681700.00,581490.10,7.41,300,Fixed,Principal and Interest,Fortnightly,Package Variable,12/02/2020,DRAFT,85.3,National Australia Bank,235128.89,4398.48
MIG-000008,Sandra Smith,06/07/1994,,0498086485,Nancy Smith,150 Park Boulevard,Redcliffe,QLD,4020,House,2,649600.00,617120.00,6.89,360,Fixed,Principal and Interest,Monthly,Standard Fixed,25/10/2019,SETTLED,95.0,Mirvac Group,219407.48,4000.43
MIG-000030,Liam Collins,17/11/1993,liam.collins@optusnet.com.au,0418577476,,58 William Court,Fremantle,WA,6160,House,4,565600.00,475669.60,6.14,360,Split,Interest Only,Monthly,Low Doc Variable,06/04/2021,UNDER_ASSESSMENT,84.1,Lendlease,60000.31,5567.98
MIG-000018,Theodore Peterson,06-27-1986,theodore.peterson@icloud.com,0426933304,Liam Rogers,98 Victoria Road,Paddington,QLD,4064,Townhouse,3,306800.00,231940.80,6.13,120,Variable,Principal and Interest,Monthly,First Home Buyer Variable,03-02-2020,APPROVED,75.6,QLD Government,99541.80,7868.10
